Administrative,Informational,ProductRelated,ProductRelated_Duration,PageValues,VisitorType,Revenue
0.0,0.0,1.0,0.0,0.0,2.0,0
0.0,0.0,2.0,64.0,0.0,2.0,0
0.0,0.0,1.0,0.0,0.0,2.0,0
0.0,0.0,2.0,2.666666667,0.0,2.0,0
0.0,0.0,10.0,627.5,0.0,2.0,0
0.0,0.0,19.0,154.2166667,0.0,2.0,0
0.0,0.0,1.0,0.0,0.0,2.0,0
1.0,0.0,0.0,0.0,0.0,2.0,0
0.0,0.0,2.0,37.0,0.0,2.0,0
0.0,0.0,3.0,738.0,0.0,2.0,0
0.0,0.0,3.0,395.0,0.0,2.0,0
0.0,0.0,16.0,407.75,0.0,2.0,0
0.0,0.0,7.0,280.5,0.0,2.0,0
0.0,0.0,6.0,98.0,0.0,2.0,0
0.0,0.0,2.0,68.0,0.0,2.0,0
2.0,0.0,23.0,1668.285119,0.0,2.0,0
0.0,0.0,1.0,0.0,0.0,2.0,0
0.0,0.0,13.0,334.9666667,0.0,2.0,0
0.0,0.0,2.0,32.0,0.0,2.0,0
0.0,0.0,20.0,2981.166667,0.0,2.0,0
0.0,0.0,8.0,136.1666667,0.0,2.0,0
0.0,0.0,2.0,0.0,0.0,2.0,0
0.0,0.0,3.0,105.0,0.0,2.0,0
0.0,0.0,2.0,15.0,0.0,2.0,0
0.0,0.0,1.0,0.0,0.0,2.0,0
0.0,0.0,5.0,156.0,0.0,2.0,0
4.0,0.0,32.0,1135.444444,0.0,2.0,0
0.0,0.0,4.0,76.0,0.0,2.0,0
0.0,0.0,4.0,63.0,0.0,2.0,0
1.0,1.0,45.0,1582.75,54.17976426,2.0,0
0.0,0.0,2.0,35.0,0.0,2.0,0
0.0,0.0,3.0,78.0,0.0,2.0,0
0.0,0.0,8.0,209.5,0.0,2.0,0
0.0,0.0,10.0,183.6666667,0.0,2.0,0
0.0,0.0,14.0,380.5,0.0,2.0,0
0.0,0.0,52.0,2086.242857,0.0,2.0,0
0.0,0.0,8.0,388.0,0.0,2.0,0
2.0,0.0,5.0,298.0,0.0,2.0,0
0.0,0.0,7.0,63.0,0.0,2.0,0
0.0,0.0,9.0,482.0,0.0,2.0,0
1.0,0.0,46.0,4084.393939,0.0,2.0,0
0.0,0.0,3.0,22.0,0.0,2.0,0
0.0,0.0,15.0,310.1666667,0.0,2.0,0
0.0,0.0,2.0,34.0,0.0,2.0,0
0.0,0.0,4.0,88.0,0.0,2.0,0
0.0,0.0,22.0,622.25,0.0,2.0,0
0.0,0.0,14.0,222.4,0.0,2.0,0
